bestandsnaam,aantal_mensen
13042026_080009.jpeg,0
13042026_081509.jpeg,0
13042026_083008.jpeg,0
13042026_084508.jpeg,0
13042026_090009.jpeg,0
13042026_091508.jpeg,0
13042026_093009.jpeg,0
13042026_094508.jpeg,1
13042026_100009.jpeg,1
13042026_101508.jpeg,1
13042026_103008.jpeg,0
13042026_104508.jpeg,0
13042026_110008.jpeg,2
13042026_111509.jpeg,0
13042026_113009.jpeg,0
13042026_114509.jpeg,0
13042026_120009.jpeg,1
13042026_121509.jpeg,2
13042026_123009.jpeg,1
13042026_124509.jpeg,1
13042026_130009.jpeg,0
13042026_131509.jpeg,0
13042026_133009.jpeg,0
13042026_134508.jpeg,0
13042026_140009.jpeg,0
13042026_141508.jpeg,0
13042026_143009.jpeg,1
13042026_144508.jpeg,1
13042026_150008.jpeg,1
13042026_151508.jpeg,0
13042026_153008.jpeg,1
13042026_154509.jpeg,0
13042026_160008.jpeg,0
13042026_161508.jpeg,0
13042026_163009.jpeg,0
13042026_164508.jpeg,0
13042026_170009.jpeg,0
13042026_171509.jpeg,0
13042026_173008.jpeg,0
13042026_174509.jpeg,0
13042026_180008.jpeg,1
13042026_181508.jpeg,0
13042026_183009.jpeg,0
13042026_184509.jpeg,0
13042026_190009.jpeg,0
13042026_191508.jpeg,0
13042026_193008.jpeg,0
13042026_194509.jpeg,0
14042026_080009.jpeg,0
14042026_081509.jpeg,0
14042026_083008.jpeg,0
14042026_084508.jpeg,0
14042026_090008.jpeg,0
14042026_091508.jpeg,1
14042026_093009.jpeg,3
14042026_094508.jpeg,1
14042026_100008.jpeg,1
14042026_101508.jpeg,1
14042026_103009.jpeg,1
14042026_104508.jpeg,0
14042026_110009.jpeg,1
14042026_111509.jpeg,0
14042026_113009.jpeg,0
14042026_114509.jpeg,1
14042026_120008.jpeg,0
