bestandsnaam,aantal_mensen
13042026_080009.jpeg,0
13042026_081509.jpeg,0
13042026_083008.jpeg,0
13042026_084508.jpeg,0
13042026_090009.jpeg,0
13042026_091508.jpeg,0
13042026_093009.jpeg,0
13042026_094508.jpeg,1
13042026_100009.jpeg,1
13042026_101508.jpeg,1
13042026_103008.jpeg,0
13042026_104508.jpeg,0
13042026_110008.jpeg,2
13042026_111509.jpeg,0
13042026_113009.jpeg,0
13042026_114509.jpeg,0
13042026_120009.jpeg,1
13042026_121509.jpeg,2
13042026_123009.jpeg,1
13042026_124509.jpeg,1
13042026_130009.jpeg,0
13042026_131509.jpeg,0
13042026_133009.jpeg,0
13042026_134508.jpeg,0
13042026_140009.jpeg,0
13042026_141508.jpeg,0
13042026_143009.jpeg,1
13042026_144508.jpeg,1
13042026_150008.jpeg,1
13042026_151508.jpeg,0
13042026_153008.jpeg,1
13042026_154509.jpeg,0
13042026_160008.jpeg,0
13042026_161508.jpeg,0
13042026_163009.jpeg,0
13042026_164508.jpeg,0
13042026_170009.jpeg,0
13042026_171509.jpeg,0
13042026_173008.jpeg,0
13042026_174509.jpeg,0
13042026_180008.jpeg,1
13042026_181508.jpeg,0
13042026_183009.jpeg,0
13042026_184509.jpeg,0
13042026_190009.jpeg,0
13042026_191508.jpeg,0
13042026_193008.jpeg,0
13042026_194509.jpeg,0
14042026_080009.jpeg,0
14042026_081509.jpeg,0
14042026_083008.jpeg,0
14042026_084508.jpeg,0
14042026_090008.jpeg,0
14042026_091508.jpeg,1
14042026_093009.jpeg,3
14042026_094508.jpeg,1
14042026_100008.jpeg,1
14042026_101508.jpeg,1
14042026_103009.jpeg,1
14042026_104508.jpeg,0
14042026_110009.jpeg,1
14042026_111509.jpeg,0
14042026_113009.jpeg,0
14042026_114509.jpeg,1
14042026_120008.jpeg,0
14042026_121509.jpeg,2
14042026_123009.jpeg,1
14042026_124508.jpeg,4
14042026_130009.jpeg,4
14042026_131509.jpeg,3
14042026_133009.jpeg,2
14042026_134509.jpeg,1
14042026_140008.jpeg,4
14042026_141508.jpeg,1
14042026_143009.jpeg,2
14042026_144509.jpeg,1
14042026_150008.jpeg,2
14042026_151509.jpeg,3
14042026_153009.jpeg,4
14042026_154509.jpeg,0
14042026_160008.jpeg,1
14042026_161508.jpeg,1
14042026_163009.jpeg,1
14042026_164509.jpeg,0
14042026_170008.jpeg,0
14042026_171509.jpeg,0
14042026_173009.jpeg,0
14042026_174508.jpeg,0
14042026_180009.jpeg,0
14042026_181508.jpeg,0
14042026_183008.jpeg,0
14042026_184509.jpeg,0
14042026_190009.jpeg,0
14042026_191509.jpeg,0
14042026_193009.jpeg,0
14042026_194509.jpeg,0
15042026_080008.jpeg,0
15042026_081509.jpeg,0
15042026_083009.jpeg,0
15042026_084509.jpeg,14
15042026_090008.jpeg,12
15042026_091509.jpeg,11
15042026_093009.jpeg,11
15042026_094509.jpeg,13
15042026_100009.jpeg,11
15042026_101509.jpeg,1
15042026_103008.jpeg,1
15042026_104508.jpeg,1
15042026_110009.jpeg,1
15042026_111509.jpeg,0
15042026_113008.jpeg,0
15042026_114508.jpeg,3
15042026_120009.jpeg,2
15042026_121508.jpeg,2
15042026_123009.jpeg,1
15042026_124508.jpeg,0
15042026_130009.jpeg,1
15042026_131509.jpeg,0
15042026_133009.jpeg,0
15042026_134508.jpeg,1
15042026_140008.jpeg,0
15042026_141509.jpeg,1
15042026_143009.jpeg,1
15042026_144508.jpeg,0
15042026_150008.jpeg,2
15042026_151509.jpeg,2
15042026_153008.jpeg,1
15042026_154508.jpeg,0
15042026_160009.jpeg,1
15042026_161509.jpeg,0
15042026_163009.jpeg,0
15042026_164509.jpeg,1
15042026_170009.jpeg,0
15042026_171508.jpeg,0
15042026_173008.jpeg,0
15042026_174508.jpeg,0
15042026_180008.jpeg,0
15042026_181508.jpeg,0
15042026_183009.jpeg,0
15042026_184508.jpeg,0
15042026_190008.jpeg,0
15042026_191508.jpeg,0
15042026_193008.jpeg,0
15042026_194508.jpeg,0
16042026_080009.jpeg,0
16042026_081508.jpeg,0
16042026_083008.jpeg,0
16042026_084509.jpeg,0
16042026_090009.jpeg,0
16042026_091509.jpeg,1
16042026_093009.jpeg,1
16042026_094509.jpeg,0
16042026_100008.jpeg,1
16042026_101508.jpeg,1
16042026_103009.jpeg,1
16042026_104508.jpeg,1
16042026_110008.jpeg,1
16042026_111508.jpeg,0
16042026_113008.jpeg,1
16042026_114508.jpeg,0
16042026_120009.jpeg,0
16042026_121509.jpeg,0
16042026_123008.jpeg,0
16042026_124509.jpeg,0
16042026_130008.jpeg,0
16042026_131509.jpeg,0
16042026_133009.jpeg,0
16042026_134508.jpeg,0
16042026_140009.jpeg,0
16042026_141508.jpeg,0
16042026_143008.jpeg,0
16042026_144509.jpeg,0
16042026_150009.jpeg,0
16042026_151509.jpeg,0
16042026_153009.jpeg,0
16042026_154509.jpeg,1
16042026_160009.jpeg,0
16042026_161509.jpeg,0
16042026_163008.jpeg,0
16042026_164509.jpeg,0
16042026_170009.jpeg,0
16042026_171509.jpeg,0
16042026_173009.jpeg,0
16042026_174509.jpeg,0
16042026_180008.jpeg,0
16042026_181509.jpeg,0
16042026_183008.jpeg,0
16042026_184508.jpeg,0
16042026_190008.jpeg,0
16042026_191509.jpeg,0
16042026_193008.jpeg,0
16042026_194509.jpeg,0
17042026_080008.jpeg,0
17042026_081509.jpeg,0
17042026_083009.jpeg,0
17042026_084509.jpeg,0
17042026_090009.jpeg,0
17042026_091508.jpeg,1
17042026_093009.jpeg,0
17042026_094508.jpeg,1
17042026_100009.jpeg,0
17042026_101508.jpeg,1
17042026_103008.jpeg,3
17042026_104509.jpeg,5
17042026_110008.jpeg,3
17042026_111509.jpeg,5
17042026_113008.jpeg,7
17042026_114508.jpeg,5
17042026_120008.jpeg,0
17042026_121508.jpeg,0
17042026_123008.jpeg,1
17042026_124508.jpeg,0
17042026_130008.jpeg,2
17042026_131508.jpeg,2
17042026_133008.jpeg,1
17042026_134508.jpeg,2
17042026_140008.jpeg,1
17042026_141508.jpeg,1
17042026_143009.jpeg,2
17042026_144508.jpeg,2
17042026_150008.jpeg,2
17042026_151509.jpeg,2
17042026_153009.jpeg,2
17042026_154508.jpeg,2
17042026_160009.jpeg,2
17042026_161508.jpeg,1
17042026_163009.jpeg,1
17042026_164509.jpeg,0
17042026_170009.jpeg,0
17042026_171508.jpeg,0
17042026_173009.jpeg,0
17042026_174509.jpeg,0
17042026_180008.jpeg,0
17042026_181509.jpeg,0
